dataset,dataset_type,dataset_primary_target,scenario,scenario_description,horizon_or_blocksize,total_runs,baseline_model,baseline_hyperparameters,model_votes,model_pct,hp_votes,hp_pct,hp_selection_method,challenger_model_ml,challenger_hyperparameters_ml,challenger_model_dl,challenger_hyperparameters_dl
AirPassengers,Univariate,Passengers,S1,One-step ahead | Static setup | Train once | Recursive inference | Ground truth disabled | No retraining,1,30,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",17,56.7,10,33.3,exact,LightGBM,"{""lags"":12,""n_estimators"":300,""max_depth"":6,""learning_rate"":0.05,""multi_step_strategy"":""N/A""}",LSTM,"{""input_size"":1,""seq_len"":12,""pred_len"":1,""hidden_size"":64,""num_layers"":2,""epochs"":50,""batch_size"":16,""lr"":0.001}"
AirPassengers,Univariate,Passengers,S2,One-step ahead | Rolling update | Retrain every step | Ground truth enabled | Continuous retraining,1,30,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",22,73.3,16,53.3,exact,XGBoost,"{""lags"":12,""n_estimators"":50,""max_depth"":3,""learning_rate"":0.1,""multi_step_strategy"":""N/A""}",GRU,"{""input_size"":1,""seq_len"":12,""pred_len"":1,""hidden_size"":32,""num_layers"":1,""epochs"":10,""batch_size"":8,""lr"":0.01}"
AirPassengers,Univariate,Passengers,S3,Multi-step ahead (H) | Rolling update | Retrain every step | Ground truth enabled | Continuous retraining,12,30,SARIMA,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""trend"": ""n""}",15,50,4,13.3,exact,RandomForest,"{""lags"":12,""n_estimators"":50,""max_depth"":4,""learning_rate"":""N/A"",""multi_step_strategy"":""recursive""}",TCN,"{""input_size"":1,""seq_len"":12,""pred_len"":12,""hidden_size"":32,""num_layers"":2,""epochs"":10,""batch_size"":8,""lr"":0.01,""kernel_size"":3,""dilations"":[1,2,4,8]}"
AirPassengers,Univariate,Passengers,S4,Multi-step ahead (B) | Block-wise rolling | Retrain every block | Ground truth enabled | Periodic retraining,12,30,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",23,76.7,12,40,exact,LightGBM,"{""lags"":12,""n_estimators"":200,""max_depth"":5,""learning_rate"":0.05,""multi_step_strategy"":""direct""}",LSTM,"{""input_size"":1,""seq_len"":12,""pred_len"":12,""hidden_size"":64,""num_layers"":2,""epochs"":30,""batch_size"":12,""lr"":0.001}"
ETTh1,Multivariate,OT,S1,One-step ahead | Static setup | Train once | Recursive inference | Ground truth disabled | No retraining,1,30,SARIMA,"{""order"": [2, 1, 2], ""seasonal_order"": [1, 1, 1, 24], ""trend"": ""c""}",21,70,4,13.3,exact,LightGBM,"{""lags"":24,""n_estimators"":500,""max_depth"":6,""learning_rate"":0.05,""multi_step_strategy"":""N/A""}",TCN,"{""input_size"":7,""seq_len"":48,""pred_len"":1,""hidden_size"":64,""num_layers"":3,""kernel_size"":3,""dilations"":[1,2,4,8,16],""epochs"":30,""batch_size"":64,""lr"":0.001}"
ETTh1,Multivariate,OT,S2,One-step ahead | Rolling update | Retrain every step | Ground truth enabled | Continuous retraining,1,30,SARIMA,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 24], ""trend"": ""c""}",24,80,6,20,exact,XGBoost,"{""lags"":12,""n_estimators"":50,""max_depth"":3,""learning_rate"":0.1,""multi_step_strategy"":""N/A""}",GRU,"{""input_size"":7,""seq_len"":12,""pred_len"":1,""hidden_size"":32,""num_layers"":1,""epochs"":3,""batch_size"":32,""lr"":0.005}"
ETTh1,Multivariate,OT,S3,Multi-step ahead (H) | Rolling update | Retrain every step | Ground truth enabled | Continuous retraining,24,30,SARIMA,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 24], ""trend"": ""c""}",23,76.7,10,33.3,exact,XGBoost,"{""lags"":12,""n_estimators"":50,""max_depth"":3,""learning_rate"":0.1,""multi_step_strategy"":""direct""}",LSTM,"{""input_size"":7,""seq_len"":12,""pred_len"":24,""hidden_size"":32,""num_layers"":1,""epochs"":3,""batch_size"":32,""lr"":0.005}"
ETTh1,Multivariate,OT,S4,Multi-step ahead (B) | Block-wise rolling | Retrain every block | Ground truth enabled | Periodic retraining,168,30,SARIMA,"{""order"": [2, 1, 2], ""seasonal_order"": [1, 1, 1, 24], ""trend"": ""n""}",18,60,5,16.7,exact,LightGBM,"{""lags"":168,""n_estimators"":300,""max_depth"":5,""learning_rate"":0.05,""multi_step_strategy"":""recursive""}",TCN,"{""input_size"":7,""seq_len"":168,""pred_len"":168,""hidden_size"":64,""num_layers"":4,""kernel_size"":4,""dilations"":[1,2,4,8,16,32],""epochs"":20,""batch_size"":32,""lr"":0.001}"
ILINet,Multivariate,% WEIGHTED ILI,S1,One-step ahead | Static setup | Train once | Recursive inference | Ground truth disabled | No retraining,1,30,SARIMA,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 52], ""trend"": ""c""}",28,93.3,7,23.3,exact,XGBoost,"{""lags"":52,""n_estimators"":500,""max_depth"":6,""learning_rate"":0.05,""multi_step_strategy"":""N/A""}",TCN,"{""input_size"":1,""seq_len"":52,""pred_len"":1,""hidden_size"":64,""num_layers"":3,""kernel_size"":3,""dilations"":[1,2,4,8,16,32],""epochs"":50,""batch_size"":32,""lr"":0.001}"
ILINet,Multivariate,% WEIGHTED ILI,S2,One-step ahead | Rolling update | Retrain every step | Ground truth enabled | Continuous retraining,1,30,SARIMA,"{""order"": [2, 0, 2], ""seasonal_order"": [1, 1, 1, 52], ""trend"": ""n""}",27,90,5,16.7,exact,LightGBM,"{""lags"":13,""n_estimators"":50,""max_depth"":4,""learning_rate"":0.1,""multi_step_strategy"":""N/A""}",GRU,"{""input_size"":1,""seq_len"":13,""pred_len"":1,""hidden_size"":32,""num_layers"":1,""epochs"":5,""batch_size"":16,""lr"":0.01}"
ILINet,Multivariate,% WEIGHTED ILI,S3,Multi-step ahead (H) | Rolling update | Retrain every step | Ground truth enabled | Continuous retraining,4,30,SARIMA,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 52], ""trend"": ""c""}",27,90,8,26.7,exact,LightGBM,"{""lags"":13,""n_estimators"":50,""max_depth"":4,""learning_rate"":0.1,""multi_step_strategy"":""recursive""}",GRU,"{""input_size"":1,""seq_len"":13,""pred_len"":4,""hidden_size"":32,""num_layers"":1,""epochs"":5,""batch_size"":16,""lr"":0.01}"
ILINet,Multivariate,% WEIGHTED ILI,S4,Multi-step ahead (B) | Block-wise rolling | Retrain every block | Ground truth enabled | Periodic retraining,52,30,SARIMA,"{""order"": [2, 0, 2], ""seasonal_order"": [1, 1, 1, 52], ""trend"": ""n""}",25,83.3,5,16.7,exact,XGBoost,"{""lags"":52,""n_estimators"":300,""max_depth"":5,""learning_rate"":0.05,""multi_step_strategy"":""direct""}",LSTM,"{""input_size"":1,""seq_len"":52,""pred_len"":52,""hidden_size"":64,""num_layers"":2,""epochs"":30,""batch_size"":32,""lr"":0.001}"
IceCreamHeater,Multivariate,Ice cream,S1,One-step ahead | Static setup | Train once | Recursive inference | Ground truth disabled | No retraining,1,30,SARIMA,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""trend"": ""c""}",18,60,13,43.3,exact,LightGBM,"{""lags"":12,""n_estimators"":300,""max_depth"":6,""learning_rate"":0.05,""input_features"":2,""multi_step_strategy"":""N/A""}",TCN,"{""input_size"":2,""seq_len"":12,""pred_len"":1,""hidden_size"":32,""num_layers"":2,""kernel_size"":3,""dilations"":[1,2,4,8],""epochs"":50,""batch_size"":16,""lr"":0.001}"
IceCreamHeater,Multivariate,Ice cream,S2,One-step ahead | Rolling update | Retrain every step | Ground truth enabled | Continuous retraining,1,30,SARIMA,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""trend"": ""c""}",17,56.7,10,33.3,exact,XGBoost,"{""lags"":6,""n_estimators"":50,""max_depth"":3,""learning_rate"":0.1,""input_features"":2,""multi_step_strategy"":""N/A""}",GRU,"{""input_size"":2,""seq_len"":6,""pred_len"":1,""hidden_size"":16,""num_layers"":1,""epochs"":5,""batch_size"":8,""lr"":0.01}"
IceCreamHeater,Multivariate,Ice cream,S3,Multi-step ahead (H) | Rolling update | Retrain every step | Ground truth enabled | Continuous retraining,12,30,SARIMA,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""trend"": ""c""}",15,50,12,40,exact,RandomForest,"{""lags"":6,""n_estimators"":50,""max_depth"":4,""learning_rate"":""N/A"",""input_features"":2,""multi_step_strategy"":""recursive""}",LSTM,"{""input_size"":2,""seq_len"":6,""pred_len"":12,""hidden_size"":16,""num_layers"":1,""epochs"":5,""batch_size"":8,""lr"":0.01}"
