file_id,dataset,scenario,branch,llm_version,run_id,output_type,execution_status,forecast_length,expected_length,error_group,error_category,error,execution_log_file
Part2-AirPassengers-S1-Base-DeepSeekV4Pro-Run3,AirPassengers,S1,Base,DeepSeekV4Pro,3,SCRIPT,FAIL,,29,code issue,SCRIPT_KEY_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S1-Base-DeepSeekV4Pro-Run3.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S1-Base-DeepSeekV4Pro-Run3.txt
Part2-AirPassengers-S1-Base-Grok43-Run1,AirPassengers,S1,Base,Grok43,1,SCRIPT,FAIL,,29,code issue,SCRIPT_VALUE_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S1-Base-Grok43-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S1-Base-Grok43-Run1.txt
Part2-AirPassengers-S1-ChalDL-GPT55-Run2,AirPassengers,S1,ChalDL,GPT55,2,SCRIPT,FAIL,,29,code issue,SCRIPT_SYNTAX_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S1-ChalDL-GPT55-Run2.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S1-ChalDL-GPT55-Run2.txt
Part2-AirPassengers-S1-ChalDL-Grok43-Run3,AirPassengers,S1,ChalDL,Grok43,3,SCRIPT,FAIL,,29,code issue,SCRIPT_TORCH_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S1-ChalDL-Grok43-Run3.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S1-ChalDL-Grok43-Run3.txt
Part2-AirPassengers-S2-Base-DeepSeekV4Pro-Run1,AirPassengers,S2,Base,DeepSeekV4Pro,1,SCRIPT,FAIL,,29,code issue,SCRIPT_VALUE_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S2-Base-DeepSeekV4Pro-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S2-Base-DeepSeekV4Pro-Run1.txt
Part2-AirPassengers-S2-Base-DeepSeekV4Pro-Run3,AirPassengers,S2,Base,DeepSeekV4Pro,3,SCRIPT,FAIL,,29,code issue,SCRIPT_TYPE_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S2-Base-DeepSeekV4Pro-Run3.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S2-Base-DeepSeekV4Pro-Run3.txt
Part2-AirPassengers-S3-Base-ClaudeOpus47-Run1,AirPassengers,S3,Base,ClaudeOpus47,1,SCRIPT,FAIL,216.0,29,model/output issue,FORECAST_PARSE_FAILURE,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S3-Base-ClaudeOpus47-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S3-Base-ClaudeOpus47-Run1.txt
Part2-AirPassengers-S3-Base-ClaudeOpus47-Run2,AirPassengers,S3,Base,ClaudeOpus47,2,SCRIPT,FAIL,216.0,29,model/output issue,FORECAST_PARSE_FAILURE,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S3-Base-ClaudeOpus47-Run2.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S3-Base-ClaudeOpus47-Run2.txt
Part2-AirPassengers-S3-Base-DeepSeekV4Pro-Run1,AirPassengers,S3,Base,DeepSeekV4Pro,1,SCRIPT,FAIL,,29,code issue,SCRIPT_KEY_ERROR,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S3-Base-DeepSeekV4Pro-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S3-Base-DeepSeekV4Pro-Run1.txt
Part2-AirPassengers-S3-Base-Gemini31Pro-Run1,AirPassengers,S3,Base,Gemini31Pro,1,SCRIPT,FAIL,348.0,29,model/output issue,FORECAST_PARSE_FAILURE,previous script execution failed; see D:\UET\KLTN\llm-ts-protocolbench\results\part2-interactive-llm-forecasting\execution-logs\Part2-AirPassengers-S3-Base-Gemini31Pro-Run1.txt,results/part2-interactive-llm-forecasting/execution-logs/Part2-AirPassengers-S3-Base-Gemini31Pro-Run1.txt
