llm_a,llm_b,mean_pairwise_model_agreement,mean_pairwise_category_agreement,n_dataset_scenarios
Gemini15Pro,Gemini20Flash,0.8333333333333333,1.0,2
ClaudeSonnet46,GPT53,0.792,0.9800000000000001,20
ClaudeSonnet46,Grok420,0.7380000000000001,1.0,20
GPT53,KimiK26,0.6639999999999999,0.9800000000000001,20
GPT53,Grok420,0.646,0.9800000000000001,20
Gemini15Pro,KimiK26,0.6216666666666666,0.9375,20
ClaudeSonnet46,KimiK26,0.5999999999999999,1.0,20
ClaudeSonnet46,Gemini31Pro,0.575,1.0,8
ClaudeSonnet46,Gemini15Pro,0.5435,0.9375,20
GPT53,Gemini15Pro,0.5130000000000001,0.9175000000000001,20
Gemini20Flash,Gemini31Pro,0.5,1.0,2
Gemini20Flash,KimiK26,0.5,1.0,2
Gemini15Pro,Gemini31Pro,0.4791666666666667,0.96875,8
Grok420,KimiK26,0.45199999999999996,1.0,20
GPT53,Gemini31Pro,0.45,0.95,8
Gemini31Pro,KimiK26,0.45,1.0,8
DeepSeekV3,KimiK26,0.44200000000000006,0.95,20
Gemini15Pro,Grok420,0.43483333333333335,0.9375,20
Gemini31Pro,Grok420,0.42500000000000004,1.0,8
DeepSeekV3,Gemini20Flash,0.4,1.0,2
DeepSeekV3,Gemini15Pro,0.3913333333333335,0.9035,20
DeepSeekV3,Grok420,0.3400000000000001,0.95,20
DeepSeekV3,GPT53,0.3240000000000001,0.93,20
ClaudeSonnet46,DeepSeekV3,0.31200000000000006,0.95,20
ClaudeSonnet46,Gemini20Flash,0.3,1.0,2
DeepSeekV3,Gemini31Pro,0.25,1.0,8
GPT53,Gemini20Flash,0.2,1.0,2
Gemini20Flash,Grok420,0.0,1.0,2
