file_id,dataset,scenario,branch,track,llm_version,run_id,output_type,expected_model,expected_hyperparameters,t0_format_followed,t1_format_followed,t1_has_previous_summary,t1_overcleaned_flag,t2_format_followed,t2_has_previous_summary,t2_model_confirmed_nonempty,t2_hyperparams_confirmed_nonempty,t2_understands_blockwise,t2_understands_retraining,t2_understands_groundtruth,t3_parse_success,t3_extra_text_flag,t3_has_seed,t3_reads_csv,t3_correct_split_80_20,t3_correct_block_size,t3_retraining_implemented,t3_uses_ground_truth,t3_remainder_handled,t3_prints_forecasts,code_model_matches_expected,code_hyperparams_match_expected,script_uses_expected_family,format_follow_score,scenario_understanding_score,code_structure_score,model_hyperparam_score,turn0_score,turn1_score,turn2_score,turn3_score,overall_protocol_score,strict_protocol_pass
Part2-AirPassengers-S1-Base-ClaudeOpus47-Run1,AirPassengers,S1,Base,baseline,ClaudeOpus47,1,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,True,True,False,False,False,True,,True,,100.0,60.0,66.67,100.0,100.0,100.0,71.43,72.73,81.67,False
Part2-AirPassengers-S1-Base-ClaudeOpus47-Run2,AirPassengers,S1,Base,baseline,ClaudeOpus47,2,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,False,True,,True,,100.0,80.0,66.67,100.0,100.0,100.0,85.71,72.73,86.67,False
Part2-AirPassengers-S1-Base-ClaudeOpus47-Run3,AirPassengers,S1,Base,baseline,ClaudeOpus47,3,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,True,True,False,False,False,True,,True,,100.0,60.0,66.67,100.0,100.0,100.0,71.43,72.73,81.67,False
Part2-AirPassengers-S1-Base-DeepSeekV4Pro-Run1,AirPassengers,S1,Base,baseline,DeepSeekV4Pro,1,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,False,False,True,True,True,True,False,False,False,True,False,True,True,False,True,False,False,False,False,,True,,83.33,40.0,44.44,100.0,100.0,66.67,57.14,54.55,66.94,False
Part2-AirPassengers-S1-Base-DeepSeekV4Pro-Run2,AirPassengers,S1,Base,baseline,DeepSeekV4Pro,2,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,False,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,False,False,True,,True,,83.33,40.0,66.67,100.0,100.0,66.67,57.14,72.73,72.5,False
Part2-AirPassengers-S1-Base-DeepSeekV4Pro-Run3,AirPassengers,S1,Base,baseline,DeepSeekV4Pro,3,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,False,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,,True,,83.33,40.0,44.44,100.0,100.0,66.67,57.14,54.55,66.94,False
Part2-AirPassengers-S1-Base-Gemini31Pro-Run1,AirPassengers,S1,Base,baseline,Gemini31Pro,1,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,False,False,True,,True,,100.0,40.0,66.67,100.0,100.0,100.0,57.14,72.73,76.67,False
Part2-AirPassengers-S1-Base-Gemini31Pro-Run2,AirPassengers,S1,Base,baseline,Gemini31Pro,2,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,False,False,False,True,,True,,100.0,40.0,66.67,100.0,100.0,100.0,57.14,72.73,76.67,False
Part2-AirPassengers-S1-Base-Gemini31Pro-Run3,AirPassengers,S1,Base,baseline,Gemini31Pro,3,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,True,True,False,False,False,False,,True,,100.0,60.0,55.56,100.0,100.0,100.0,71.43,63.64,78.89,False
Part2-AirPassengers-S1-Base-GPT55-Run1,AirPassengers,S1,Base,baseline,GPT55,1,SCRIPT,ExponentialSmoothing,"{""damped_trend"": false, ""seasonal"": ""mul"", ""seasonal_periods"": 12, ""trend"": ""add""}",True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,True,True,False,False,False,True,,True,,100.0,60.0,66.67,100.0,100.0,100.0,71.43,72.73,81.67,False
