dataset,scenario,llm_version,total_rows,ok_rows,failed_rows,Base_rows,Base_ok_rows,Base_ok_run_ids,ChalML_rows,ChalML_ok_rows,ChalML_ok_run_ids,ChalDL_rows,ChalDL_ok_rows,ChalDL_ok_run_ids,ChalML_paired_with_base_runs,ChalDL_paired_with_base_runs,complete_three_branch_runs
AirPassengers,S1,ClaudeOpus47,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
AirPassengers,S1,DeepSeekV4Pro,9,8,1,3,2,"1,2",3,3,"1,2,3",3,3,"1,2,3",2,2,2
AirPassengers,S1,GPT55,9,8,1,3,3,"1,2,3",3,3,"1,2,3",3,2,"1,3",3,2,2
AirPassengers,S1,Gemini31Pro,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
AirPassengers,S1,Grok43,9,7,2,3,2,"2,3",3,3,"1,2,3",3,2,"1,2",2,1,1
AirPassengers,S1,KimiK26,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
AirPassengers,S2,ClaudeOpus47,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
AirPassengers,S2,DeepSeekV4Pro,9,7,2,3,1,2,3,3,"1,2,3",3,3,"1,2,3",1,1,1
AirPassengers,S2,GPT55,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
AirPassengers,S2,Gemini31Pro,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
AirPassengers,S2,Grok43,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
AirPassengers,S2,KimiK26,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
AirPassengers,S3,ClaudeOpus47,9,7,2,3,1,3,3,3,"1,2,3",3,3,"1,2,3",1,1,1
AirPassengers,S3,DeepSeekV4Pro,9,6,3,3,2,"2,3",3,3,"1,2,3",3,1,3,2,1,1
AirPassengers,S3,GPT55,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
AirPassengers,S3,Gemini31Pro,9,3,6,3,0,,3,1,3,3,2,"1,2",0,0,0
AirPassengers,S3,Grok43,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
AirPassengers,S3,KimiK26,9,5,4,3,3,"1,2,3",3,2,"2,3",3,0,,2,0,0
AirPassengers,S4,ClaudeOpus47,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
AirPassengers,S4,DeepSeekV4Pro,9,8,1,3,3,"1,2,3",3,2,"1,2",3,3,"1,2,3",2,3,2
AirPassengers,S4,GPT55,9,9,0,3,3,"1,2,3",3,3,"1,2,3",3,3,"1,2,3",3,3,3
AirPassengers,S4,Gemini31Pro,9,8,1,3,3,"1,2,3",3,3,"1,2,3",3,2,"1,3",3,2,2
AirPassengers,S4,Grok43,9,8,1,3,3,"1,2,3",3,2,"2,3",3,3,"1,2,3",2,3,2
AirPassengers,S4,KimiK26,9,6,3,3,1,3,3,3,"1,2,3",3,2,"1,3",1,1,1
ETTh1,S1,ClaudeOpus47,1,0,1,0,0,,0,0,,1,0,,0,0,0
ETTh1,S1,DeepSeekV4Pro,9,1,8,3,1,2,3,0,,3,0,,0,0,0
ETTh1,S1,GPT55,1,0,1,0,0,,0,0,,1,0,,0,0,0
ETTh1,S1,Gemini31Pro,2,2,0,1,1,1,0,0,,1,1,1,0,1,0
ETTh1,S1,Grok43,4,2,2,3,2,"2,3",0,0,,1,0,,0,0,0
ETTh1,S1,KimiK26,1,0,1,0,0,,0,0,,1,0,,0,0,0
ETTh1,S2,ClaudeOpus47,1,0,1,0,0,,0,0,,1,0,,0,0,0
